LUC,GCM,RCP,Timestep,LULC,Mean,Lower,Upper
BAU,CanESM2,rcp45,2021,Water,18655,18655,18655
BAU,CanESM2,rcp45,2021,Wetland,2712.15,2669.9,2753.05
BAU,CanESM2,rcp45,2022,Agriculture,44217.87,43917.425,44526.100000000006
BAU,CanESM2,rcp45,2022,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2022,Developed,27066.62,26506.1,27572.875
BAU,CanESM2,rcp45,2022,Forest,155600.66,155439.9,155768.875
BAU,CanESM2,rcp45,2022,Grassland,45383.05,45044.15,45831.575
BAU,CanESM2,rcp45,2022,Shrubland,110995.2,110831.425,111152.625
BAU,CanESM2,rcp45,2022,SnowIce,28,28,28
BAU,CanESM2,rcp45,2022,Water,18655,18655,18655
BAU,CanESM2,rcp45,2022,Wetland,2710.6,2667.425,2749.525
BAU,CanESM2,rcp45,2023,Agriculture,44174.97,43883.45,44480.774999999994
BAU,CanESM2,rcp45,2023,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2023,Developed,27253.69,26715.6,27758
BAU,CanESM2,rcp45,2023,Forest,155562.69,155406.22499999998,155735.1
BAU,CanESM2,rcp45,2023,Grassland,45324.98,44980.7,45762
BAU,CanESM2,rcp45,2023,Shrubland,110949.42,110791,111135.05
BAU,CanESM2,rcp45,2023,SnowIce,28,28,28
BAU,CanESM2,rcp45,2023,Water,18655,18655,18655
BAU,CanESM2,rcp45,2023,Wetland,2708.25,2666,2743.525
BAU,CanESM2,rcp45,2024,Agriculture,44123,43788.649999999994,44433.675
BAU,CanESM2,rcp45,2024,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2024,Developed,27443.77,26849.824999999997,27931.725
BAU,CanESM2,rcp45,2024,Forest,155526.33,155357.475,155713.15
BAU,CanESM2,rcp45,2024,Grassland,45269.3,44954.225,45695.25
BAU,CanESM2,rcp45,2024,Shrubland,110905.17,110759.325,111108.625
BAU,CanESM2,rcp45,2024,SnowIce,28,28,28
BAU,CanESM2,rcp45,2024,Water,18655,18655,18655
BAU,CanESM2,rcp45,2024,Wetland,2706.43,2655.425,2745.2
BAU,CanESM2,rcp45,2025,Agriculture,44077.66,43736.225000000006,44441.825
