LUC,GCM,RCP,Timestep,Ecosystem,StockGroup,Mean,Lower,Upper
Low,MIROC5,rcp45,2013,No,HAP,205184.55323408524,204292.8184914971,206071.29639624164
Low,MIROC5,rcp45,2013,No,HWP,48604.010239871386,46850.29905130839,50749.03526705498
Low,MIROC5,rcp45,2013,No,Live,319.6644846363885,289.82891571546503,356.367029622053
Low,MIROC5,rcp45,2013,No,Soil,10743.914897111878,10218.05792211775,11506.290045831
Low,MIROC5,rcp45,2013,Yes,DOM,387160.69696236186,386400.5077296591,388025.1964630092
Low,MIROC5,rcp45,2013,Yes,Live,1699703.883493589,1696543.0607262268,1702657.6766512808
Low,MIROC5,rcp45,2013,Yes,Soil,2605640.449636774,2604663.502225692,2606452.858323418
Low,MIROC5,rcp45,2014,No,Aquatic,29863.939973914436,29855.996930882407,29870.739186143015
Low,MIROC5,rcp45,2014,No,Atmosphere,-160516.60015916597,-163021.5179631138,-158223.95748340094
Low,MIROC5,rcp45,2014,No,DOM,51.00907558504147,41.7240426922523,60.0639948963221
Low,MIROC5,rcp45,2014,No,HAP,219761.45468342022,218809.95085923298,220741.71159222387
Low,MIROC5,rcp45,2014,No,HWP,51580.123446526646,49246.33948518624,54126.319920597205
Low,MIROC5,rcp45,2014,No,Live,348.50122495605325,319.7460991640232,386.3070880672211
Low,MIROC5,rcp45,2014,No,Soil,11701.882183095555,11145.3613579842,12482.624530123903
Low,MIROC5,rcp45,2014,Yes,DOM,364383.00644050044,363509.03253855405,365324.9280934329
Low,MIROC5,rcp45,2014,Yes,Live,1708291.8870865274,1703954.1397353979,1712097.8980791802
Low,MIROC5,rcp45,2014,Yes,Soil,2597665.8112539533,2596594.867748942,2598524.748819057
Low,MIROC5,rcp45,2015,No,Aquatic,32136.798461522307,32128.56523950644,32143.926201293238
Low,MIROC5,rcp45,2015,No,Atmosphere,-134996.60025912058,-137248.06314691136,-132523.8045529445
Low,MIROC5,rcp45,2015,No,DOM,52.72327277711172,43.163882724668554,61.99691672877697
Low,MIROC5,rcp45,2015,No,HAP,232230.8695949801,231221.55521968583,233309.80019204167
Low,MIROC5,rcp45,2015,No,HWP,54436.08303440913,51506.3298114566,57765.03660507452
Low,MIROC5,rcp45,2015,No,Live,375.56642063613947,345.624130693744,409.25947831790717
Low,MIROC5,rcp45,2015,No,Soil,12625.879713832632,12023.285069815165,13439.284633149528
Low,MIROC5,rcp45,2015,Yes,DOM,376077.6991248443,374947.5278265294,377266.33635435347
Low,MIROC5,rcp45,2015,Yes,Live,1662837.113081534,1657730.3807451995,1667008.7946683133
Low,MIROC5,rcp45,2015,Yes,Soil,2587354.8827639446,2586196.278016826,2588314.4490746334
Low,MIROC5,rcp45,2016,No,Aquatic,34377.35214779859,34368.36303452015,34386.33300053427
Low,MIROC5,rcp45,2016,No,Atmosphere,-144389.29103876618,-147593.72744378189,-141594.76192870364
Low,MIROC5,rcp45,2016,No,DOM,54.45054858092559,43.74859183272443,63.81213196319155
Low,MIROC5,rcp45,2016,No,HAP,245069.0081839223,243998.1565333415,246228.38148116227
Low,MIROC5,rcp45,2016,No,HWP,57361.096700173046,53310.36368170606,61322.26887300577
Low,MIROC5,rcp45,2016,No,Live,397.904317125674,361.46060348543244,429.53263063064946
Low,MIROC5,rcp45,2016,No,Soil,13430.287083944946,12704.246761652648,14227.450595640263
Low,MIROC5,rcp45,2016,Yes,DOM,415497.4000922985,414233.28749475937,417128.4124213697
Low,MIROC5,rcp45,2016,Yes,Live,1625194.2628851163,1619341.9811823135,1631225.3616105597
Low,MIROC5,rcp45,2016,Yes,Soil,2576138.544289095,2574880.2587874327,2577092.7444950333
Low,MIROC5,rcp45,2017,No,Aquatic,36602.219414816216,36593.2847753004,36612.64709767941
Low,MIROC5,rcp45,2017,No,Atmosphere,-153738.4191153582,-158344.03732967516,-149946.67339352707
Low,MIROC5,rcp45,2017,No,DOM,55.88258332562605,44.59855006005073,65.00318962592894
Low,MIROC5,rcp45,2017,No,HAP,258688.15506920856,257511.51979334222,259927.3694734092
Low,MIROC5,rcp45,2017,No,HWP,60130.81478853601,56264.55733303593,63491.00143493026
Low,MIROC5,rcp45,2017,No,Live,420.2570432893172,385.59879382478863,451.2692738046494
Low,MIROC5,rcp45,2017,No,Soil,14226.081315592352,13500.821745791214,15057.143703938695
Low,MIROC5,rcp45,2017,Yes,DOM,423156.10377863987,418689.48031693307,427399.0628556843
Low,MIROC5,rcp45,2017,Yes,Live,1615586.3230079717,1608092.995093574,1622556.878913405
Low,MIROC5,rcp45,2017,Yes,Soil,2568003.597323453,2566582.0043406533,2569057.563099757
Low,MIROC5,rcp45,2018,No,Aquatic,38824.228880837734,38812.12884225283,38838.57769916794
Low,MIROC5,rcp45,2018,No,Atmosphere,-209437.88129947393,-215136.45538894547,-204191.0468474264
Low,MIROC5,rcp45,2018,No,DOM,57.57355926419828,45.91070365655318,67.64674495704301
Low,MIROC5,rcp45,2018,No,HAP,277066.64594030357,275764.94042789633,278446.8533501112
Low,MIROC5,rcp45,2018,No,HWP,63001.82165961649,58967.17669467686,66845.49460264662
Low,MIROC5,rcp45,2018,No,Live,444.7157862922326,411.0062554413628,474.5645838768118
Low,MIROC5,rcp45,2018,No,Soil,15027.643620289286,14337.742143977413,15880.453174668572
Low,MIROC5,rcp45,2018,Yes,DOM,430088.76520622184,425866.31546858256,434421.4964436942
Low,MIROC5,rcp45,2018,Yes,Live,1646689.158663088,1638062.921464895,1655245.6396502457
Low,MIROC5,rcp45,2018,Yes,Soil,2561368.3431926314,2559867.8553189635,2562570.8087526397
Low,MIROC5,rcp45,2019,No,Aquatic,41053.82273167616,41039.63465321101,41071.16851222102
Low,MIROC5,rcp45,2019,No,Atmosphere,-261527.44512397467,-268178.1390323869,-256002.9550720286
Low,MIROC5,rcp45,2019,No,DOM,59.535108122427495,47.684736729404925,68.91877113927873
Low,MIROC5,rcp45,2019,No,HAP,297807.97231851605,296363.6569642433,299392.88578787644
Low,MIROC5,rcp45,2019,No,HWP,65961.27609739799,61314.13190662975,70377.41794230699
Low,MIROC5,rcp45,2019,No,Live,470.61468658688676,434.83255085066946,506.428576497961
Low,MIROC5,rcp45,2019,No,Soil,15833.363533264168,15237.023029334936,16626.96412393555
Low,MIROC5,rcp45,2019,Yes,DOM,437795.55951964983,433433.65749562095,442498.10590411606
Low,MIROC5,rcp45,2019,Yes,Live,1666685.966878966,1657305.660721062,1676267.4970925339
Low,MIROC5,rcp45,2019,Yes,Soil,2558990.349459056,2557299.389453479,2560218.0495904656
Low,MIROC5,rcp45,2020,No,Aquatic,43292.72674594926,43274.33278037605,43313.742325249375
Low,MIROC5,rcp45,2020,No,Atmosphere,-308166.0017796631,-315304.36274121044,-302117.7975942077
Low,MIROC5,rcp45,2020,No,DOM,62.17880682021426,50.00219620897428,71.72934548937573
Low,MIROC5,rcp45,2020,No,HAP,318504.27344351244,316906.1198841889,320239.133061575
Low,MIROC5,rcp45,2020,No,HWP,68902.77772646134,63476.24894667833,73960.55944115254
Low,MIROC5,rcp45,2020,No,Live,495.66909411744746,458.020626375206,532.7001641894597
Low,MIROC5,rcp45,2020,No,Soil,16622.87466546351,16054.73396860539,17418.133495582308
Low,MIROC5,rcp45,2020,Yes,DOM,446490.75424366683,441688.0990969697,451576.35580904287
Low,MIROC5,rcp45,2020,Yes,Live,1677698.2022198911,1666391.0746948547,1687087.4972456982
Low,MIROC5,rcp45,2020,Yes,Soil,2559227.5600430393,2557595.9372250456,2560545.140861068
Low,MIROC5,rcp45,2021,No,Aquatic,45535.482013359244,45510.224773724236,45561.0329795166
Low,MIROC5,rcp45,2021,No,Atmosphere,-335612.8009952262,-342438.88541745045,-329074.4923029997
Low,MIROC5,rcp45,2021,No,DOM,65.17724061766805,53.08566853089883,76.34538112550632
Low,MIROC5,rcp45,2021,No,HAP,336422.95586748,334689.1972381861,338323.3002619125
Low,MIROC5,rcp45,2021,No,HWP,71705.26850963944,65760.40435860002,76954.89788500666
Low,MIROC5,rcp45,2021,No,Live,518.9396690546537,478.786537122854,553.5906698952708
Low,MIROC5,rcp45,2021,No,Soil,17404.428750052204,16747.22641081245,18144.066372174613
Low,MIROC5,rcp45,2021,Yes,DOM,456667.5288271936,451283.3061017035,463612.20784452686
Low,MIROC5,rcp45,2021,Yes,Live,1669213.2128603936,1656810.6250056461,1679869.9591748687
Low,MIROC5,rcp45,2021,Yes,Soil,2561210.8224665252,2559432.8257474606,2562638.900003383
